customer_id,genero,mayor_65,tiene_pareja,tiene_dependientes,antiguedad_meses,tipo_contrato,facturacion_electronica,metodo_pago,servicio_internet,seguridad_online,soporte_tecnico,streaming_tv,cargo_mensual,cargo_total,num_incidencias_soporte,churn
CU5805,Masculino,0,Sí,No,61,Mes a mes,No,Domiciliación bancaria,DSL,No,No,Sí,20.76,1234.45,2,0
CU5806,Masculino,0,No,No,31,Mes a mes,Sí,Transferencia,DSL,No,Sí,No,122.65,3622.29,1,1
CU5807,Femenino,0,Sí,No,22,Mes a mes,Sí,Transferencia,Fibra óptica,No,Sí,No,130.0,2845.21,2,1
CU5808,Femenino,0,No,Sí,20,Un año,Sí,Tarjeta de crédito,Fibra óptica,No,No,No,50.93,939.08,0,0
CU5809,Masculino,0,No,No,36,Mes a mes,Sí,Transferencia,Fibra óptica,No,No,No,104.16,3685.12,2,0
CU5810,Femenino,0,No,No,8,Un año,No,Cheque electrónico,Sin internet,No,No,No,90.11,678.28,1,0
CU5811,Masculino,0,No,Sí,16,Un año,No,Transferencia,Fibra óptica,Sí,Sí,No,86.55,1338.81,0,1
CU5812,Masculino,0,No,Sí,22,Mes a mes,No,Domiciliación bancaria,Sin internet,Sí,Sí,Sí,43.68,908.99,1,0
CU5813,Masculino,0,No,No,43,Mes a mes,No,Transferencia,DSL,No,No,No,38.53,1668.7,1,0
CU5814,Femenino,0,Sí,No,10,Mes a mes,No,Cheque electrónico,Fibra óptica,Sí,Sí,No,51.62,535.2,0,0
CU5815,Femenino,0,No,No,66,Un año,No,Cheque electrónico,Fibra óptica,No,No,Sí,53.08,3359.12,1,0
CU5816,Masculino,1,Sí,No,4,Mes a mes,Sí,Tarjeta de crédito,Sin internet,No,Sí,No,30.57,119.72,1,0
CU5817,Femenino,0,No,No,57,Mes a mes,No,Cheque electrónico,DSL,Sí,Sí,Sí,42.95,2259.62,0,0
CU5818,Masculino,0,Sí,No,65,Mes a mes,Sí,Cheque electrónico,Sin internet,No,No,No,93.19,5850.16,2,0
CU5819,Masculino,0,Sí,No,70,Mes a mes,Sí,Domiciliación bancaria,Sin internet,No,Sí,No,108.25,7741.81,2,0
CU5820,Femenino,0,No,No,48,Dos años,Sí,Cheque electrónico,Sin internet,No,No,No,39.58,1888.41,3,0
CU5821,Masculino,0,No,No,61,Mes a mes,No,Transferencia,DSL,Sí,Sí,No,130.0,7636.82,2,0
CU5822,Femenino,0,No,Sí,70,Mes a mes,Sí,Cheque electrónico,Fibra óptica,No,No,No,24.81,1622.26,1,0
CU5823,Femenino,0,Sí,Sí,21,Mes a mes,Sí,Transferencia,DSL,No,No,No,31.82,643.4,2,0
CU5824,Femenino,0,No,Sí,54,Dos años,Sí,Tarjeta de crédito,DSL,Sí,Sí,Sí,18.0,896.43,1,0
CU5825,Masculino,0,Sí,Sí,7,Mes a mes,No,Tarjeta de crédito,Fibra óptica,No,No,No,18.0,128.92,0,1
CU5826,Femenino,0,No,No,53,Mes a mes,No,Transferencia,DSL,No,No,Sí,96.95,5335.87,0,0
CU5827,Femenino,0,Sí,No,52,Mes a mes,Sí,Transferencia,Fibra óptica,No,Sí,No,51.53,2744.75,2,1
CU5828,Femenino,0,No,Sí,34,Dos años,No,Tarjeta de crédito,DSL,No,No,Sí,63.68,2156.88,1,0
CU5829,Femenino,0,Sí,Sí,10,Dos años,Sí,Transferencia,DSL,No,No,No,54.8,533.78,2,1
CU5830,Femenino,1,Sí,No,45,Dos años,Sí,Tarjeta de crédito,DSL,No,Sí,Sí,27.37,1265.45,1,0
CU5831,Femenino,1,No,Sí,7,Mes a mes,Sí,Domiciliación bancaria,Fibra óptica,Sí,Sí,Sí,18.0,117.1,1,1
CU5832,Masculino,0,No,Sí,6,Un año,Sí,Domiciliación bancaria,Fibra óptica,No,No,Sí,18.0,109.11,1,0
CU5833,Femenino,0,Sí,Sí,40,Mes a mes,No,Domiciliación bancaria,DSL,Sí,Sí,Sí,54.51,2191.37,2,0
CU5834,Masculino,0,Sí,Sí,48,Mes a mes,Sí,Domiciliación bancaria,Fibra óptica,Sí,Sí,No,73.86,3386.73,1,0
CU5835,Masculino,0,No,Sí,28,Dos años,Sí,Domiciliación bancaria,Sin internet,No,Sí,No,35.04,902.96,1,0
CU5836,Masculino,0,Sí,No,46,Dos años,No,Cheque electrónico,Sin internet,Sí,No,Sí,18.0,824.89,1,0
CU5837,Masculino,1,No,No,47,Mes a mes,Sí,Transferencia,Sin internet,No,No,Sí,86.96,4059.77,1,0
CU5838,Masculino,0,No,No,35,Mes a mes,No,Domiciliación bancaria,DSL,Sí,No,No,90.72,2990.31,0,1
CU5839,Femenino,0,No,No,43,Mes a mes,Sí,Tarjeta de crédito,Sin internet,No,No,No,21.28,855.95,1,0
CU5840,Femenino,0,No,Sí,47,Dos años,Sí,Domiciliación bancaria,Fibra óptica,No,Sí,No,26.96,1197.53,0,0
CU5841,Masculino,1,Sí,Sí,47,Dos años,Sí,Tarjeta de crédito,DSL,No,No,No,82.32,3738.95,2,0
CU5842,Masculino,0,No,No,58,Un año,Sí,Tarjeta de crédito,Sin internet,No,Sí,No,18.0,1023.94,1,0
CU5843,Masculino,0,Sí,No,45,Mes a mes,Sí,Tarjeta de crédito,Fibra óptica,Sí,No,No,21.95,968.69,3,0
CU5844,Femenino,0,No,No,30,Un año,No,Domiciliación bancaria,DSL,No,Sí,No,101.4,3127.23,1,0
CU5845,Masculino,1,No,No,14,Mes a mes,No,Domiciliación bancaria,DSL,No,No,No,45.68,631.88,1,0
CU5846,Masculino,0,Sí,No,23,Un año,Sí,Tarjeta de crédito,Fibra óptica,Sí,Sí,No,61.68,1339.98,0,0
CU5847,Masculino,1,Sí,No,34,Un año,Sí,Domiciliación bancaria,Fibra óptica,Sí,No,No,27.46,947.78,0,0
CU5848,Femenino,0,Sí,No,21,Mes a mes,No,Tarjeta de crédito,Fibra óptica,No,No,No,92.71,1888.6,0,1
CU5849,Masculino,1,Sí,Sí,0,Mes a mes,Sí,Transferencia,DSL,No,Sí,Sí,58.21,59.15,0,0
CU5850,Femenino,0,No,No,63,Mes a mes,Sí,Domiciliación bancaria,DSL,Sí,Sí,No,88.95,5514.43,2,0
CU5851,Masculino,1,No,No,51,Mes a mes,No,Transferencia,Sin internet,Sí,Sí,No,45.61,2432.16,1,0
CU5852,Femenino,0,No,No,70,Mes a mes,No,Transferencia,DSL,No,No,No,28.23,1859.62,1,0
CU5853,Masculino,0,No,No,64,Un año,Sí,Tarjeta de crédito,DSL,Sí,Sí,No,56.91,3489.72,1,0
CU5854,Masculino,0,No,No,58,Mes a mes,Sí,Domiciliación bancaria,Fibra óptica,Sí,No,No,36.49,2117.4,0,0
CU5855,Femenino,0,No,Sí,69,Un año,Sí,Tarjeta de crédito,Fibra óptica,No,Sí,Sí,45.6,3156.04,2,0
CU5856,Masculino,0,No,Sí,50,Dos años,No,Domiciliación bancaria,Fibra óptica,No,No,Sí,36.29,1789.33,1,0
CU5857,Femenino,0,Sí,No,71,Mes a mes,No,Tarjeta de crédito,Fibra óptica,No,Sí,Sí,24.52,1693.63,1,0
CU5858,Masculino,0,No,No,61,Un año,No,Transferencia,Sin internet,No,Sí,Sí,81.84,5162.37,1,0
CU5859,Masculino,0,No,Sí,40,Dos años,Sí,Cheque electrónico,Fibra óptica,Sí,No,Sí,73.37,3044.85,0,0
CU5860,Femenino,0,Sí,No,55,Mes a mes,Sí,Domiciliación bancaria,DSL,No,No,No,31.91,1830.66,1,0
CU5861,Masculino,0,Sí,Sí,39,Mes a mes,Sí,Tarjeta de crédito,Sin internet,No,No,No,110.0,4302.11,3,1
CU5862,Masculino,0,Sí,No,21,Mes a mes,Sí,Tarjeta de crédito,Fibra óptica,Sí,No,Sí,39.3,857.28,0,0
CU5863,Masculino,0,Sí,No,9,Un año,Sí,Cheque electrónico,Fibra óptica,No,No,No,83.63,707.29,2,1
CU5864,Femenino,0,Sí,No,19,Un año,No,Tarjeta de crédito,Fibra óptica,No,Sí,No,18.0,345.66,1,0
CU5865,Femenino,0,Sí,No,57,Un año,Sí,Cheque electrónico,DSL,No,Sí,Sí,51.84,3083.47,1,0
CU5866,Masculino,0,No,No,63,Un año,Sí,Domiciliación bancaria,Fibra óptica,Sí,No,Sí,18.0,1087.5,0,0
CU5867,Femenino,0,Sí,Sí,72,Mes a mes,No,Domiciliación bancaria,Fibra óptica,Sí,No,Sí,35.73,2520.34,2,0
CU5868,Masculino,0,Sí,No,62,Mes a mes,Sí,Domiciliación bancaria,DSL,Sí,Sí,Sí,71.55,4492.78,3,0
CU5869,Masculino,0,Sí,No,8,Mes a mes,No,Transferencia,Fibra óptica,No,Sí,Sí,68.31,534.69,1,0
CU5870,Femenino,0,Sí,Sí,20,Dos años,Sí,Cheque electrónico,Fibra óptica,No,Sí,Sí,38.59,734.57,1,0
CU5871,Femenino,0,Sí,No,46,Mes a mes,No,Cheque electrónico,DSL,No,No,No,61.3,2697.21,2,0
CU5872,Masculino,1,No,No,19,Mes a mes,Sí,Cheque electrónico,Fibra óptica,No,Sí,No,68.59,1359.31,2,0
CU5873,Femenino,0,No,No,17,Un año,Sí,Tarjeta de crédito,DSL,Sí,Sí,No,42.19,732.56,1,0
CU5874,Masculino,1,No,Sí,70,Un año,Sí,Tarjeta de crédito,Fibra óptica,No,No,Sí,79.01,5550.75,0,0
CU5875,Masculino,0,No,No,58,Mes a mes,Sí,Cheque electrónico,Sin internet,No,No,Sí,63.94,3881.27,2,0
CU5876,Femenino,0,Sí,Sí,42,Mes a mes,Sí,Transferencia,Fibra óptica,No,No,Sí,44.91,1793.37,0,1
CU5877,Masculino,0,No,No,7,Dos años,No,Transferencia,DSL,No,Sí,Sí,111.27,795.84,0,0
CU5878,Masculino,0,Sí,No,55,Mes a mes,Sí,Tarjeta de crédito,Sin internet,No,No,No,48.91,2601.64,0,0
CU5879,Masculino,1,Sí,No,41,Dos años,No,Transferencia,Fibra óptica,No,No,Sí,30.05,1258.04,1,0
CU5880,Femenino,0,No,Sí,2,Dos años,Sí,Domiciliación bancaria,Fibra óptica,Sí,No,Sí,87.71,165.51,0,0
CU5881,Masculino,0,Sí,No,52,Mes a mes,No,Transferencia,DSL,No,Sí,No,77.6,4083.25,1,0
CU5882,Masculino,0,No,No,37,Un año,No,Tarjeta de crédito,DSL,No,Sí,No,18.0,663.61,0,0
CU5883,Masculino,1,No,No,45,Dos años,Sí,Transferencia,Sin internet,No,No,No,18.0,781.96,0,0
CU5884,Femenino,0,Sí,No,29,Mes a mes,No,Tarjeta de crédito,Sin internet,No,No,No,73.44,2179.43,0,1
CU5885,Femenino,0,No,No,38,Mes a mes,Sí,Domiciliación bancaria,Fibra óptica,No,Sí,Sí,40.32,1569.22,0,0
CU5886,Femenino,0,No,No,19,Mes a mes,Sí,Tarjeta de crédito,Fibra óptica,No,No,No,68.58,1336.02,0,0
CU5887,Masculino,1,No,No,24,Un año,No,Tarjeta de crédito,Fibra óptica,Sí,No,Sí,48.94,1220.06,1,1
CU5888,Masculino,0,No,No,23,Un año,No,Transferencia,Fibra óptica,No,No,No,74.9,1789.73,0,0
CU5889,Femenino,0,Sí,No,13,Mes a mes,Sí,Cheque electrónico,Fibra óptica,Sí,No,Sí,81.25,1057.95,1,0
CU5890,Femenino,0,No,No,62,Un año,Sí,Transferencia,Fibra óptica,Sí,No,Sí,18.0,1100.94,1,0
CU5891,Masculino,1,No,No,21,Un año,No,Tarjeta de crédito,Sin internet,Sí,No,No,31.89,621.22,0,0
CU5892,Masculino,0,No,No,1,Mes a mes,Sí,Cheque electrónico,DSL,Sí,Sí,No,104.78,108.9,2,1
CU5893,Femenino,0,Sí,Sí,31,Mes a mes,No,Cheque electrónico,Fibra óptica,No,Sí,No,72.43,2346.6,0,0
CU5894,Masculino,1,Sí,Sí,50,Mes a mes,Sí,Tarjeta de crédito,Fibra óptica,No,No,No,79.58,3730.12,3,0
CU5895,Femenino,0,Sí,Sí,52,Mes a mes,Sí,Domiciliación bancaria,Fibra óptica,Sí,Sí,No,125.14,6213.49,1,0
CU5896,Masculino,0,Sí,No,37,Un año,Sí,Transferencia,Fibra óptica,Sí,Sí,Sí,93.39,3416.67,0,0
CU5897,Masculino,0,No,Sí,0,Dos años,Sí,Domiciliación bancaria,Fibra óptica,No,No,No,63.44,64.66,0,0
CU5898,Femenino,0,Sí,No,27,Dos años,Sí,Domiciliación bancaria,Fibra óptica,Sí,No,No,28.64,716.11,1,0
CU5899,Femenino,1,Sí,Sí,48,Mes a mes,No,Transferencia,DSL,No,No,Sí,98.57,4473.11,2,1
CU5900,Masculino,1,Sí,Sí,65,Mes a mes,Sí,Tarjeta de crédito,DSL,No,Sí,Sí,99.32,6522.67,1,0
CU5901,Femenino,0,No,No,47,Mes a mes,No,Cheque electrónico,DSL,No,No,No,68.71,3092.85,2,0
CU5902,Femenino,0,Sí,Sí,55,Mes a mes,Sí,Transferencia,Fibra óptica,No,No,Sí,116.98,6609.67,1,0
CU5903,Femenino,0,Sí,Sí,65,Mes a mes,Sí,Cheque electrónico,DSL,No,No,No,72.92,4772.2,3,1
CU5904,Masculino,0,Sí,No,44,Dos años,No,Transferencia,DSL,No,No,No,66.84,2787.57,1,0
CU5905,Femenino,0,Sí,Sí,38,Mes a mes,Sí,Tarjeta de crédito,Fibra óptica,No,No,No,98.62,3892.98,2,0
CU5906,Femenino,0,Sí,Sí,30,Mes a mes,No,Domiciliación bancaria,Fibra óptica,Sí,Sí,No,78.85,2405.95,1,0
CU5907,Masculino,1,No,No,25,Mes a mes,Sí,Tarjeta de crédito,DSL,No,Sí,No,86.36,2042.98,0,0
CU5908,Femenino,0,Sí,No,66,Mes a mes,Sí,Cheque electrónico,Fibra óptica,No,No,No,18.0,1186.89,0,0
CU5909,Masculino,0,Sí,Sí,8,Mes a mes,No,Tarjeta de crédito,Fibra óptica,No,No,Sí,75.06,597.31,1,1
CU5910,Femenino,0,No,Sí,68,Mes a mes,Sí,Cheque electrónico,Fibra óptica,No,No,Sí,50.99,3560.05,0,0
CU5911,Femenino,0,Sí,No,47,Dos años,Sí,Transferencia,Fibra óptica,No,No,Sí,49.16,2272.11,1,1
CU5912,Masculino,0,No,Sí,53,Mes a mes,Sí,Transferencia,Sin internet,No,No,Sí,58.34,2873.27,0,0
CU5913,Femenino,0,Sí,Sí,48,Un año,Sí,Cheque electrónico,DSL,No,No,No,45.49,2147.93,0,0
CU5914,Femenino,0,Sí,Sí,30,Dos años,No,Cheque electrónico,Fibra óptica,No,Sí,Sí,85.07,2379.04,3,0
CU5915,Femenino,0,Sí,Sí,57,Un año,Sí,Cheque electrónico,DSL,No,No,No,31.08,1673.91,1,0
CU5916,Femenino,0,No,No,71,Un año,No,Domiciliación bancaria,Fibra óptica,No,Sí,Sí,18.0,1182.08,1,0
CU5917,Masculino,0,Sí,No,23,Dos años,No,Tarjeta de crédito,Sin internet,No,No,No,60.71,1406.78,2,1
CU5918,Masculino,1,No,No,3,Mes a mes,No,Tarjeta de crédito,Sin internet,Sí,Sí,Sí,102.22,303.04,0,1
CU5919,Masculino,0,Sí,No,29,Dos años,No,Transferencia,DSL,Sí,No,Sí,50.1,1435.85,2,0
CU5920,Femenino,0,Sí,No,62,Mes a mes,No,Transferencia,Fibra óptica,No,No,Sí,57.39,3551.12,2,0
CU5921,Femenino,0,No,No,8,Mes a mes,Sí,Domiciliación bancaria,Sin internet,No,No,Sí,56.73,469.43,0,0
CU5922,Femenino,0,No,No,21,Mes a mes,No,Tarjeta de crédito,Fibra óptica,No,No,Sí,130.0,2628.88,0,0
CU5923,Femenino,0,No,Sí,59,Dos años,Sí,Cheque electrónico,Fibra óptica,No,No,No,91.26,4975.7,3,0
CU5924,Femenino,0,Sí,No,35,Mes a mes,No,Domiciliación bancaria,DSL,No,No,Sí,48.1,1683.94,2,0
CU5925,Femenino,0,No,No,38,Mes a mes,No,Transferencia,DSL,Sí,No,No,59.09,2074.27,0,0
CU5926,Masculino,0,No,No,6,Mes a mes,No,Transferencia,Fibra óptica,No,Sí,No,42.86,243.23,1,1
CU5927,Masculino,0,Sí,No,59,Mes a mes,No,Domiciliación bancaria,DSL,No,No,No,117.06,6729.21,0,0
CU5928,Femenino,0,Sí,No,34,Dos años,No,Cheque electrónico,Sin internet,No,No,No,21.84,772.27,0,0
CU5929,Masculino,0,Sí,Sí,40,Un año,No,Tarjeta de crédito,Sin internet,No,Sí,Sí,37.5,1442.48,1,0
CU5930,Femenino,0,No,No,16,Mes a mes,No,Domiciliación bancaria,Fibra óptica,No,No,No,89.76,1455.34,0,0
CU5931,Femenino,0,No,Sí,1,Mes a mes,No,Cheque electrónico,Fibra óptica,No,No,No,112.56,107.11,0,1
CU5932,Masculino,0,No,Sí,23,Dos años,Sí,Transferencia,Sin internet,No,Sí,Sí,64.44,1533.36,0,0
CU5933,Femenino,0,No,No,13,Mes a mes,No,Transferencia,DSL,Sí,Sí,No,57.2,710.22,1,0
CU5934,Femenino,0,Sí,No,41,Mes a mes,No,Tarjeta de crédito,Sin internet,No,No,No,65.96,2520.78,0,0
CU5935,Femenino,0,Sí,No,21,Mes a mes,No,Tarjeta de crédito,Fibra óptica,Sí,No,Sí,67.06,1469.05,2,1
CU5936,Femenino,0,No,No,70,Mes a mes,Sí,Transferencia,Fibra óptica,No,Sí,No,123.76,8505.06,0,0
CU5937,Masculino,0,Sí,No,19,Dos años,Sí,Transferencia,Fibra óptica,No,Sí,No,77.21,1516.56,3,0
CU5938,Femenino,1,No,No,16,Un año,Sí,Tarjeta de crédito,Fibra óptica,No,Sí,No,54.62,829.73,1,1
CU5939,Femenino,0,No,Sí,21,Mes a mes,No,Domiciliación bancaria,Sin internet,Sí,No,No,76.13,1565.84,1,0
CU5940,Femenino,0,No,No,25,Un año,Sí,Tarjeta de crédito,Fibra óptica,No,No,No,91.21,2129.58,2,1
CU5941,Femenino,0,No,Sí,54,Un año,Sí,Tarjeta de crédito,Sin internet,No,No,No,38.48,1925.19,0,0
CU5942,Masculino,0,No,No,17,Mes a mes,Sí,Cheque electrónico,DSL,Sí,No,Sí,72.14,1225.4,1,1
CU5943,Femenino,0,Sí,No,55,Mes a mes,No,Transferencia,DSL,Sí,Sí,No,65.65,3753.88,1,0
CU5944,Femenino,0,No,No,36,Mes a mes,No,Domiciliación bancaria,DSL,Sí,No,Sí,32.77,1227.41,0,0
CU5945,Masculino,0,No,Sí,60,Dos años,No,Transferencia,DSL,No,No,No,53.12,3323.41,2,0
CU5946,Masculino,0,No,Sí,19,Dos años,Sí,Domiciliación bancaria,Fibra óptica,Sí,Sí,No,51.48,920.5,0,0
CU5947,Femenino,0,Sí,Sí,32,Dos años,Sí,Domiciliación bancaria,DSL,Sí,Sí,No,51.06,1692.52,1,0
CU5948,Femenino,0,No,No,14,Un año,No,Domiciliación bancaria,Fibra óptica,No,Sí,No,117.39,1619.32,1,0
CU5949,Masculino,1,No,No,31,Mes a mes,No,Cheque electrónico,Fibra óptica,No,No,No,65.54,1949.82,0,0
CU5950,Femenino,0,Sí,No,47,Mes a mes,No,Domiciliación bancaria,DSL,No,Sí,Sí,74.72,3331.54,1,0
CU5951,Masculino,0,No,No,40,Dos años,No,Tarjeta de crédito,Fibra óptica,Sí,Sí,No,83.38,3118.28,2,0
CU5952,Femenino,1,Sí,No,12,Un año,Sí,Transferencia,Fibra óptica,Sí,Sí,Sí,63.15,723.0,1,0
CU5953,Femenino,0,No,Sí,49,Dos años,Sí,Tarjeta de crédito,DSL,Sí,No,No,52.55,2383.68,0,0
CU5954,Femenino,0,No,No,41,Mes a mes,No,Tarjeta de crédito,Sin internet,Sí,Sí,No,106.73,4251.99,1,0
CU5955,Masculino,0,Sí,No,40,Mes a mes,Sí,Transferencia,DSL,Sí,No,No,106.94,4077.36,0,0
CU5956,Femenino,0,No,No,3,Dos años,No,Cheque electrónico,DSL,No,No,Sí,90.39,282.34,1,0
CU5957,Femenino,0,Sí,No,28,Mes a mes,No,Transferencia,DSL,Sí,No,No,61.89,1684.36,0,0
CU5958,Femenino,0,No,No,52,Mes a mes,Sí,Cheque electrónico,Fibra óptica,Sí,Sí,No,74.82,3990.51,1,0
CU5959,Femenino,0,Sí,No,28,Mes a mes,No,Domiciliación bancaria,DSL,No,Sí,No,42.22,1154.95,0,0
CU5960,Masculino,0,No,No,0,Mes a mes,No,Tarjeta de crédito,Fibra óptica,No,No,No,67.77,67.28,4,0
CU5961,Femenino,0,Sí,No,19,Dos años,Sí,Cheque electrónico,DSL,No,No,Sí,32.04,623.44,0,0
CU5962,Masculino,0,No,No,49,Un año,Sí,Domiciliación bancaria,Sin internet,No,Sí,No,87.32,4211.13,1,0
CU5963,Masculino,0,No,Sí,15,Dos años,No,Transferencia,DSL,No,No,No,111.08,1636.17,1,1
CU5964,Femenino,0,No,No,10,Mes a mes,Sí,Domiciliación bancaria,DSL,No,No,No,33.41,312.96,0,0
CU5965,Masculino,0,No,No,54,Mes a mes,Sí,Cheque electrónico,Fibra óptica,No,Sí,No,114.12,6171.67,0,0
CU5966,Femenino,0,Sí,No,51,Mes a mes,Sí,Transferencia,Fibra óptica,No,Sí,Sí,82.54,4321.86,1,0
CU5967,Masculino,1,Sí,No,43,Mes a mes,No,Tarjeta de crédito,Fibra óptica,No,No,No,43.22,1910.41,1,0
CU5968,Masculino,0,Sí,No,5,Un año,Sí,Domiciliación bancaria,DSL,Sí,No,Sí,72.16,336.15,0,0
CU5969,Masculino,0,No,No,23,Mes a mes,No,Tarjeta de crédito,Fibra óptica,No,No,Sí,108.08,2429.17,1,1
CU5970,Masculino,0,Sí,No,23,Mes a mes,Sí,Domiciliación bancaria,Fibra óptica,No,Sí,No,99.69,2202.24,2,1
CU5971,Masculino,0,Sí,No,28,Mes a mes,No,Cheque electrónico,Fibra óptica,Sí,No,Sí,98.83,2882.12,1,1
CU5972,Femenino,0,No,No,51,Dos años,No,Domiciliación bancaria,Sin internet,No,No,Sí,54.58,2890.69,1,0
CU5973,Masculino,0,No,No,66,Un año,Sí,Cheque electrónico,Fibra óptica,Sí,Sí,Sí,38.74,2415.2,0,0
CU5974,Masculino,0,No,No,45,Un año,No,Domiciliación bancaria,DSL,Sí,No,Sí,64.94,3007.21,0,0
CU5975,Masculino,0,Sí,Sí,9,Un año,Sí,Tarjeta de crédito,Sin internet,Sí,No,No,68.37,599.82,3,1
CU5976,Masculino,0,No,No,21,Dos años,No,Tarjeta de crédito,Fibra óptica,No,Sí,No,58.98,1282.16,1,0
CU5977,Femenino,0,No,Sí,6,Un año,Sí,Transferencia,Fibra óptica,Sí,Sí,No,47.9,267.32,0,1
CU5978,Masculino,0,Sí,No,33,Mes a mes,Sí,Transferencia,DSL,No,No,No,36.74,1193.13,0,1
CU5979,Femenino,0,Sí,No,16,Mes a mes,Sí,Tarjeta de crédito,DSL,No,No,Sí,84.93,1265.17,1,0
CU5980,Femenino,0,No,No,24,Un año,No,Tarjeta de crédito,Sin internet,No,No,No,45.21,1013.56,1,0
CU5981,Masculino,0,Sí,No,32,Mes a mes,Sí,Domiciliación bancaria,DSL,Sí,No,No,87.55,2762.42,0,1
CU5982,Masculino,0,No,No,0,Mes a mes,Sí,Cheque electrónico,Fibra óptica,No,No,No,56.61,58.67,2,1
CU5983,Masculino,0,Sí,No,43,Dos años,Sí,Transferencia,Fibra óptica,No,Sí,Sí,62.3,2498.43,2,0
CU5984,Femenino,1,No,No,40,Un año,Sí,Domiciliación bancaria,DSL,No,No,Sí,32.0,1338.8,0,0
CU5985,Masculino,0,Sí,Sí,36,Un año,Sí,Transferencia,Fibra óptica,No,Sí,Sí,76.23,2655.72,1,0
CU5986,Masculino,0,No,Sí,72,Un año,Sí,Domiciliación bancaria,Fibra óptica,Sí,Sí,No,57.26,4004.03,2,0
CU5987,Masculino,0,Sí,Sí,29,Mes a mes,Sí,Cheque electrónico,Sin internet,No,No,Sí,34.85,940.99,2,0
CU5988,Masculino,0,No,Sí,37,Dos años,No,Tarjeta de crédito,DSL,No,Sí,No,58.59,2194.16,0,0
CU5989,Masculino,0,No,No,38,Mes a mes,Sí,Transferencia,Fibra óptica,No,No,No,40.84,1552.52,1,0
CU5990,Masculino,0,No,No,27,Mes a mes,Sí,Tarjeta de crédito,DSL,No,Sí,No,20.87,560.25,2,0
CU5991,Masculino,0,No,No,68,Mes a mes,Sí,Cheque electrónico,Sin internet,Sí,Sí,No,86.12,5632.3,0,0
CU5992,Masculino,0,No,Sí,36,Dos años,No,Transferencia,DSL,No,No,Sí,32.85,1155.71,2,0
CU5993,Masculino,0,Sí,No,69,Mes a mes,No,Transferencia,DSL,No,Sí,Sí,77.71,5431.82,2,0
CU5994,Femenino,1,No,Sí,52,Mes a mes,Sí,Tarjeta de crédito,DSL,No,No,No,129.0,6559.72,0,1
CU5995,Femenino,0,No,No,68,Dos años,Sí,Domiciliación bancaria,Fibra óptica,No,No,Sí,38.69,2560.15,0,0
CU5996,Femenino,0,Sí,No,7,Mes a mes,Sí,Cheque electrónico,Sin internet,No,Sí,No,78.05,518.06,1,1
CU5997,Masculino,0,No,No,44,Un año,No,Tarjeta de crédito,Fibra óptica,No,Sí,Sí,53.62,2422.43,1,0
CU5998,Femenino,0,Sí,Sí,32,Mes a mes,Sí,Domiciliación bancaria,DSL,No,No,No,71.98,2312.61,0,0
CU5999,Femenino,0,No,No,34,Mes a mes,No,Domiciliación bancaria,Fibra óptica,No,No,Sí,18.0,594.81,2,0
CU6000,Masculino,0,Sí,No,12,Mes a mes,No,Tarjeta de crédito,Sin internet,No,Sí,No,76.45,852.73,2,1
CU6001,Femenino,0,Sí,No,60,Mes a mes,No,Domiciliación bancaria,DSL,Sí,No,No,67.93,4251.2,0,0
CU6002,Masculino,0,No,No,47,Dos años,Sí,Domiciliación bancaria,Fibra óptica,Sí,Sí,No,130.0,6279.8,2,0
CU6003,Masculino,0,No,No,33,Dos años,No,Cheque electrónico,DSL,No,No,No,18.0,596.81,0,0
CU6004,Masculino,0,No,No,69,Mes a mes,Sí,Tarjeta de crédito,Fibra óptica,No,Sí,No,51.46,3461.96,0,0
CU6005,Femenino,0,No,No,31,Un año,Sí,Cheque electrónico,DSL,No,No,Sí,77.79,2336.65,0,0
CU6006,Femenino,0,Sí,No,17,Dos años,Sí,Transferencia,Fibra óptica,No,Sí,Sí,89.65,1519.75,1,0
CU6007,Femenino,0,Sí,Sí,40,Mes a mes,Sí,Transferencia,Fibra óptica,No,Sí,Sí,61.54,2525.16,0,0
CU6008,Masculino,0,Sí,No,28,Dos años,No,Transferencia,DSL,No,Sí,Sí,100.4,2604.76,0,1
CU6009,Masculino,0,No,No,33,Mes a mes,Sí,Transferencia,Fibra óptica,No,No,No,66.8,2198.12,0,0
CU6010,Masculino,0,Sí,Sí,19,Mes a mes,No,Tarjeta de crédito,DSL,No,No,No,68.8,1272.84,1,0
CU6011,Femenino,0,No,No,42,Dos años,No,Transferencia,Sin internet,Sí,Sí,No,18.0,783.02,0,0
CU6012,Femenino,0,No,No,28,Mes a mes,No,Cheque electrónico,Fibra óptica,Sí,Sí,Sí,81.38,2138.56,1,0
CU6013,Femenino,0,No,No,65,Mes a mes,Sí,Domiciliación bancaria,Fibra óptica,Sí,No,No,107.47,7041.44,2,0
CU6014,Femenino,1,No,No,33,Mes a mes,No,Cheque electrónico,DSL,Sí,Sí,No,37.26,1219.19,1,0
CU6015,Femenino,0,No,No,4,Mes a mes,No,Cheque electrónico,Fibra óptica,No,Sí,No,52.64,195.08,0,0
CU6016,Femenino,0,No,Sí,56,Mes a mes,Sí,Cheque electrónico,Fibra óptica,Sí,Sí,No,25.33,1454.27,3,0
CU6017,Femenino,0,Sí,No,41,Un año,Sí,Cheque electrónico,DSL,Sí,No,No,78.01,3295.94,0,0
